"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 22:24:12 GMT 2025","Tue Oct 07 22:24:12 GMT 2025","272","api-tests","api/checklist/checklist-post.spec.ts","Pruebas API de Checklist","","","TC005 - Crear checklist con espacio en blanco",""
"passed","Tue Oct 07 22:24:31 GMT 2025","Tue Oct 07 22:24:31 GMT 2025","85","api-tests","api/custom_fields/customfields-put.spec.ts","Pruebas API de Custom Field - PUT","","","TC008 - Intentar actualizar Custom Field con ID vacío",""
"passed","Tue Oct 07 22:24:27 GMT 2025","Tue Oct 07 22:24:27 GMT 2025","80","api-tests","api/custom_fields/customfields-post.spec.ts","Pruebas API de Custom Field - POST Options","","","TC002 - Agregar opción sin 'value.text'",""
"passed","Tue Oct 07 22:24:20 GMT 2025","Tue Oct 07 22:24:20 GMT 2025","157","api-tests","api/custom_fields/customfields-get.spec.ts","Pruebas API de Custom Field - GET","","","TC002 - Obtener Custom Field inexistente",""
"passed","Tue Oct 07 22:25:41 GMT 2025","Tue Oct 07 22:25:42 GMT 2025","108","api-tests","api/uploads/attchment-get.spec.ts","Attachment GET tests","","","Get non-existent attachment id should return 404 or 400 (depending on API)",""
"passed","Tue Oct 07 22:24:39 GMT 2025","Tue Oct 07 22:24:39 GMT 2025","237","api-tests","api/label/label-delete.spec.ts","Tests de eliminación de Labels en Trello","","","Eliminar una Label con ID inválido",""
"passed","Tue Oct 07 22:24:49 GMT 2025","Tue Oct 07 22:24:50 GMT 2025","106","api-tests","api/uploads/attachment-delete.spec.ts","Attachment DELETE tests","","","Delete non-existent attachment returns 404 or 400",""
"passed","Tue Oct 07 22:31:29 GMT 2025","Tue Oct 07 22:31:44 GMT 2025","15296","ui-tests","ui/dashboard.spec.ts","Dashboard Management Test Suite - Board Lifecycle Operations","","","TC013 - Verify complete board deletion process and removal from dashboard",""
"passed","Tue Oct 07 22:28:16 GMT 2025","Tue Oct 07 22:28:40 GMT 2025","24417","ui-tests","ui/card.spec.ts","Card Advanced Features Test Suite - Attachments, Dates, Checklists and Labels","","","TC007 - Verify successful JSON file attachment upload to card with validation",""
"passed","Tue Oct 07 22:24:46 GMT 2025","Tue Oct 07 22:24:46 GMT 2025","243","api-tests","api/label/label-put.spec.ts","Tests de actualización de Labels en Trello","","","Modificar una Label con datos inválidos",""
"passed","Tue Oct 07 22:25:35 GMT 2025","Tue Oct 07 22:25:40 GMT 2025","5569","api-tests","api/uploads/attchment-get.spec.ts","Attachment GET tests","","","Get attachment by id from card",""
"passed","Tue Oct 07 22:26:28 GMT 2025","Tue Oct 07 22:26:44 GMT 2025","15496","login-tests","ui/login.spec.ts","Login Tests - Todos los usuarios (users.json + .env)","","","Usuario inválido: invalid4 - invalid4",""
"skipped","Tue Oct 07 22:36:58 GMT 2025","Tue Oct 07 22:36:58 GMT 2025","1","cloud-tests","ui/checklist.spec.ts","Checklist Tests - Trello UI (Independent Test Cases with Separate Cards)","","","TC002 - Marcar ítem de ""Checklist 2"" como completado en card nueva",""
"passed","Tue Oct 07 22:25:23 GMT 2025","Tue Oct 07 22:25:23 GMT 2025","10","api-tests","api/uploads/attachment-post.spec.ts","Attachment POST tests","","","Attach with invalid URL should fail schema validation",""
"passed","Tue Oct 07 22:24:09 GMT 2025","Tue Oct 07 22:24:09 GMT 2025","525","api-tests","api/checklist/add-checklist-item.spec.ts","Pruebas API de Checklist Items","","","TC005 - Agregar item a checklist eliminado",""
"passed","Tue Oct 07 22:30:46 GMT 2025","Tue Oct 07 22:31:03 GMT 2025","17288","ui-tests","ui/dashboard.spec.ts","Dashboard Management Test Suite - Board Lifecycle Operations","","","TC011 - Verify successful board creation from dashboard and visibility validation",""
"failed","Tue Oct 07 22:37:08 GMT 2025","Tue Oct 07 22:37:08 GMT 2025","5","cloud-tests","ui/dashboard.spec.ts","Dashboard Management Test Suite - Board Lifecycle Operations","","","TC013 - Verify complete board deletion process and removal from dashboard",""
"passed","Tue Oct 07 22:24:47 GMT 2025","Tue Oct 07 22:24:47 GMT 2025","242","api-tests","api/label/label-put.spec.ts","Tests de actualización de Labels en Trello","","","Modificar una Label sin enviar datos",""
"failed","Tue Oct 07 22:37:11 GMT 2025","Tue Oct 07 22:37:11 GMT 2025","5","cloud-tests","ui/E2E.spec.ts","End-to-End Integration Test Suite - Complete Trello Workflow Validation","","","TC050 - Verify complete end-to-end workflow: board creation, lists setup, card management with attachments, dates, checklists and workflow transitions",""
"passed","Tue Oct 07 22:24:19 GMT 2025","Tue Oct 07 22:24:19 GMT 2025","113","api-tests","api/custom_fields/customfields-get.spec.ts","Pruebas API de Custom Field - GET","","","TC001 - Obtener Custom Field existente",""
"passed","Tue Oct 07 22:24:12 GMT 2025","Tue Oct 07 22:24:12 GMT 2025","242","api-tests","api/checklist/checklist-post.spec.ts","Pruebas API de Checklist","","","TC004 - Crear checklist con caracteres especiales",""
"passed","Tue Oct 07 22:24:30 GMT 2025","Tue Oct 07 22:24:30 GMT 2025","84","api-tests","api/custom_fields/customfields-put.spec.ts","Pruebas API de Custom Field - PUT","","","TC004 - Actualizar Custom Field con nombre vacío",""
"skipped","Tue Oct 07 22:24:33 GMT 2025","Tue Oct 07 22:24:33 GMT 2025","4","api-tests","api/date/date-update.spec.ts","Cards | Actualizar fechas y recordatorio","","","PUT /cards/:id - rechaza si due es anterior a start",""
"failed","Tue Oct 07 22:37:22 GMT 2025","Tue Oct 07 22:37:22 GMT 2025","3","cloud-tests","ui/login.spec.ts","Login Tests - Todos los usuarios (users.json + .env)","","","Usuario válido de .env - valid_user",""
"passed","Tue Oct 07 22:24:46 GMT 2025","Tue Oct 07 22:24:47 GMT 2025","246","api-tests","api/label/label-put.spec.ts","Tests de actualización de Labels en Trello","","","Modificar una Label que no existe",""
"passed","Tue Oct 07 22:24:14 GMT 2025","Tue Oct 07 22:24:14 GMT 2025","89","api-tests","api/checklist/checklist-put.spec.ts","Pruebas API de Checklist - PUT","","","TC002 - Actualizar checklist con nombre vacío",""
